,Texts,SWN Analysis,Emotions
727,我真的很讨厌社交。讨厌社交的人真的很难在社会生存吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
728,Lending an ear to you doesn't mean you can leak all someone's struggles in social media.,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
729,"Does anyone have the same issue as mine with cancelling hostel application? I clicked the reject button multiple times but it only reloaded the page but no confirmation whatsoever that my rejection has been accepted? I tried both on laptop and phone, still the same.",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
730,There are two unpredictable things in the world.. the earthquakes and the second one is the H*C hostel announcements..,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
731,因为我们xx的政府，我今年都不知道要怎样帮我女朋友庆祝生日了之前还能看看电影之类的大家有什么好建议吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
732,"To USM,",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
733,请问有没有学长学姐是就读Bsc maths and eco 的~ 能否在下面留个言~ 想咨询一点问题~shy,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
734,"pls share2 , thank you",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
735,此时此刻，时间是半夜1点44分。温度计显示25摄氏度。我睡不着。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
736,USM should put on their website that how bad the hostel system is for internationals students here. If i knew the hostel system is this bad here i would never come to this university. Even in this time of pandemic when students are already having a hard time. USM just loves to make the students life even harder.,Negative,"{'Happy': 0.09, 'Angry': 0.18, 'Surprise': 0.0, 'Sad': 0.36, 'Fear': 0.36}"
737,我的室友是个辣鸡人,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
738,"Hello peeps!!! Does anyone know how to get/book therapy in Penang. I did do search on Google, and ofc there are some recommendations, and some of them r quite useful ig... And basically i did try to contact one of the recommendation of private therapy that offer affordable service price, and i decide to do it online but they suggest me to get a f2f therapy bcs of some issue that i got, but the problem is that if i decide to get a f2f session with them, it will b… See More",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
739,"好快，我快已经year 2的人了。想想这一年。。。。。这一年除了assignment, online class...... 什么也没有了。生活好无趣，感觉自己一无是处。",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
740,"Morning having vaccination, afternoon need to sit for the exam, night need to do revision for the exam in the next day. The next day need to wake up early to sit for the exam again. Hope I still alive after the exam...",Positive,"{'Happy': 0.67, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.33}"
741,"Go back here, do the quarantine, when last mid-sem break almost over, another quarantine period, fine, I do, this time, when semester almost finish, yet, they impose another lockdown, I have planned to move out when this semester is over, and cancel the hostel, now?? Kita mampu merancang ja....my university's life full of lockdown....who is actually they suspected?",Negative,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.0, 'Fear': 0.4}"
742,为什么usm的biomedicine多了一个kesihatan，,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
743,Everyone please be more careful in rst now. Te*un m*6 and m*5 floor 1 and 2 got lockdown. Got p*sitive case. Poor them cannot go home. Please take care of yourself so that close contact to you won't receive the consequences especially our family.,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.5, 'Fear': 0.0}"
744,我的天 我弟弟说他们中学的好像九月要回去学校上课 现在疫情这么严重 还要回学校上课？而且中学的话 都是还没打疫苗的学生吧 都还没过18岁 不敢相信 如果这阵子疫情好转的话 我还能理解 到现在明显并没有任何好转啊 怎么敢做出这种决定啊？希望这个决定不会被实施吧 唉,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
745,"Hi,  any STU 244 student can tell me where to look for the assignment grade since lecturer said will upload the grade but I can't find it on e-learning until now.... Is I miss anything or the grade won't be uploaded?",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.67, 'Fear': 0.0}"
746,请问有人收到KUOK Foundation的email或信吗？就是每年都要寄成绩的那个 因为听senior说去年他们是七月收到的 但我到现在都没收到 有点担心还有点焦虑,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
747,读了这么多年 account。真的是没想到60%都是concept 和definition... 完蛋。。唉。,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
748,谁和我一样。Financial account ing 只关注在calculation parts 。然后后面的concept definition都没读到。。。gg,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
749,每考完一科，让我心慰的不是考的怎样，是每考完一科就可以delete完桌面上所有关于那科的资料。心中的一块石头可以被抛的远远的,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
750,#USMCFS26718,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
751,Why there are so many new cats suddenly in the campus? It's hard not to notice it coincides with the students balik kampung time. Are those cats abandoned? I wonder what will be their fates now....,Negative,"{'Happy': 0.0, 'Angry': 0.25, 'Surprise': 0.25, 'Sad': 0.0, 'Fear': 0.5}"
752,So like I know the Tekun storage room is divided by floors. But can I (floor 5) put my stuffs on floor 7's store room?,Neutral,"{'Happy': 0.0, 'Angry': 0.14, 'Surprise': 0.43, 'Sad': 0.14, 'Fear': 0.29}"
753,当大家觉得你很搞笑，只有你觉得不搞笑时，你这时候已成了小丑。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
754,Is there any trustable freelance job recommended? Trying to earn some extra income during sembreak,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
755,Anything fun to do during this semester break so I don't feel like a hikkikomori?,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
756,"Last week someone told about the charges about Ka*yes shop percel service. It was 80 Sen for each percel not considering weight, duration of storage, or size. Now they solve the problem increasing the charge for big percel . RM 1 for big percel . So the turn the students against student! I have a suggestion for them. Previously percel charge was 50 Sen per, still they can take it for small one and first day received. After 3 days, they can charge RM 1 for ever… See More",Negative,"{'Happy': 0.4, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.2, 'Fear': 0.13}"
757,Find someone who looks at you like how traveler looks at ayaka,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
758,Can I ask how to make a pusat sejahtera's dental appointment? Do anyone have any experience before?,Neutral,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.33}"
759,"Information technology acc，anyone same with me ? Only read the PowerPoint slides, then d*e in the exam......",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
760,想問一下学姐学长们奖学金会难申请到吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
761,大家sembreak了都做些什么呀？有什么part time工介绍吗？能在家做的那种,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
762,听说你不是一个随便的人 可是希望你能可以给我一次机会跟你沟通 了解你 可以吗? wszdhxn Sota year 1 的 LYX,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
763,"If a chinese person first language is English r being called banana, so how about chinese people that speak malay as their first language? Are people like me considered as banana too curious hmm... Dont judge me please i live in kelantan n my environment are mostly malay people thats why",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.56, 'Sad': 0.22, 'Fear': 0.22}"
764,各位大神，小弟有三个问题想问：,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
765,想问下有没有chemical enginnering的同学，本人机械工程能源方向，第一次用aspen plus尝试做biomass pyrolysis gasification遇到难题，有志同道合者或者用过aspen plus的同学请指点一二,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
766,"Hi. 我是将在下个sem来 USM intern的小伙子，我来自马大，有点人生地不熟。想请教下如果要找个房间租 有什么门路吗？我试过用USM info , 可是好像不是很有效率耶。Intern的地方在pharmacy school，想找个走路可以到的房子，虚心地请教下 附近有什么选择吗？一间single room市价大概是多少？请各位大大指点迷津，功德无量。",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
767,某人：“几时才轮到我打疫苗？zf是不是遗忘我了？！什么后门zf来的?!”,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
768,"I'm not sure what inconvenience my confession will bring to you, admins. I will absolutely understand and accede to your decision if you wished to remove or dispose my post.",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.25, 'Fear': 0.75}"
769,我好奇學校這個sem為什麼沒有像上sem这样退60塊的yuran kebajikan給我們,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
770,"HAVENT SEEN E*G*NE  N* COMMENT ON CONFESSION PAGE NOWADAYS NOW THAT ITS NOT AS ACTIVE AS BEFORE,",Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
771,"Is there anyone in this group alternative channel student + 1 USM? If there is someone please comment.. thank you,· See original  · Rate this translation",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.33}"
772,"I currently thinking to take environmental biology as my minor. But I have no one that I can refer to. Are there any senior who majoring in environmental biology who like to help? If you like to help, please react care and I would go to pm you. Thank you in advance",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.6, 'Sad': 0.2, 'Fear': 0.2}"
773,有人在mini projects是遇到这样的苦吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
774,My friends been posting depr*ssion matters. Sebak minta dorg kongsi with me then menangis sama2. Hope u feel better pal,Positive,"{'Happy': 0.4, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.2, 'Fear': 0.4}"
775,今天你对我爱搭不理，明天我让你高攀不起。哈哈哈哈,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
776,"Stuck in the campus for months, cannot go back as my postgrad research is still ongoing, cannot go out to buy cheaper necessities, not many cafe are open during weekend, my savings are decreasing, workloads are increasing....... I am getting stress...",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
777,The staffs are going in and out campus and meet us. Why we cannot go out even to buy necessities? What will happen if students who have been stuck in the campus got the virus from the staffs? Is it fair?,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
778,Anyone knows when is the last day to reject hostel as my school haven't announce we are going online or f2f,Negative,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
779,其实有时候我很羡慕我的朋友们，她们生日时有礼物，有祝福。我不奢望我生日时有礼物，只是我没想到祝福也没有，一个人在隔离的房间度过，自己外卖叫了个蛋糕吃就当做过了生日了，其实想想还挺讽刺的,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
780,我觉得，我们和明星的差距，就在于发光,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
781,#认真帖,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
782,“Lee Zi Jia lost the match with Chen Long from China”.,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.33}"
783,马来西亚输了男单羽球比赛，好伤心,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
784,刚毕业薪水没涨都不敢谈恋爱,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
785,"请问大概还有多久会收到 ""文*艺术节"" 的tshirt呢? 理解可能是因为疫情影响了工厂那边，但这也有点太久了。",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
786,"Dear H**,",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
787,#USMCFS26759 & #USMCFS26718,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
788,hi folks this is a reminder to stay hydrated and stay away from negativity. reach out if you need help. go outside once in a while for fresh air and sunlight. your body will thank you. lets take care of ourselves physically and mentally,Negative,"{'Happy': 0.0, 'Angry': 0.6, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.0}"
789,"As an international student, we always had language barrier when upper dept want to disseminate to us using Bahasa rather than English. I don't struggle last time as some docs are alr in English but the times there aren't I know J*s*n will translate. I realise however, it is no more the case. Why is it so?,Regarding your question, yes I had stopped doing translations for official posts. Reasons being that:… See More",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.43, 'Fear': 0.29}"
790,各位大大，请问刚在7月结束最后一个学期的理大生大约几时可以拿到毕业证啊？公布成绩那天就能拿到吗？求解惑，感谢,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
791,为什么每次要和喜欢的人聊天就会很怂 和其他人朋友聊天简直就像老司机那样 我好想找他聊天为什么他都不发状态 我要怎样才能引起你的注意,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
792,"嗨USM学哥学姐们 想问下biomedical sc 这几年华人人数 有多少。本人把biomedical sc放在第二个选择,根据全升所提供的数据，理大的Biomedical Science在2019/2020学年总共在46位学生里录取了6位华裔生，而2020/2021学年则在42位学生里录取了15位华裔生。… See More",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
793,Tag your Katherine friend,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
794,We are sem break right? Why A**251 start to the assignment 1 already,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
795,Sem 3 haven’t start and already received 1st assignment  give us a peaceful break please ugh,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.17}"
796,Sy x suka orang luaq nk kepoh hal pribadi gue. Bukan semua boleh kasi ramai tau,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
797,Halo 那些身为所谓“地球人”的朋友不觉得他很烦meh 多多pattern那边 连我阿嫲看了都觉得他很八,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
798,某神秘大学的某神秘组织正在侵入全马大学，正式邀请神秘的你们来填写这份神秘问卷,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
799,Can anyone suggest any platform of short course for free  with e-certificate. Especially for accounting and business students.,Positive,"{'Happy': 0.25, 'Angry': 0.25, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}"
800,"I love him, he loves her, but she is my best friend  What should I do",Positive,"{'Happy': 0.75, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.0, 'Fear': 0.0}"
801,can we have a  peaceful sembreak? pls dont give assignment during sembreak,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}"
802,Anyone recommend OCTAFX? I currently using Etoro but the spread is very big for Forex trades etc,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
803,Halo admin? 你为什么都不allow一些好的文章通过？反而一些什么想认识你，谁谁谁好帅好美？这边不是tantan诶？admin做点事情好吗 还是你在睡觉？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
804,"Hi! I want to ask any IT or computer pro person. I had a broken laptop long time ago and I'm planing to send it to computer shop but not to fix it anymore. I just wanna give to the computer shop but I'm scare are they able to track back and have all my old photos inside my laptop. I'm scared they might use and curi my private data and picture as I have a long of picture inside it and they might use for inappropriate purpose. Do u guys think it should be okay and… See More,Joking, just google how to wipe your hard disk and read it from there",Negative,"{'Happy': 0.0, 'Angry': 0.25, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.42}"
805,"宝宝想找个房间租， 只要靠近usm, 走路可以到pharma school, 价钱公道，就可以了。budget 300-350. 现在找房间真的好难好难。有相关信息的请欢迎whatapps https://api.WhatsApp.com/send?phone=60183805011  . 求求通过，不然下学期宝宝就要睡街边了。",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
806,最近想放usm的biomedicine在upu list，结果发现usm的biomedicine是在分校读的，还是在kelantan，好像有点偏僻，没有华人的感觉，想把它填在第五个，前面是um和upm，ukm的要iv不可以换了，但怕真的中了第五个,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
807,"Imagine having parents like Lee Chong Wei and Wong Mew Choo or Lin Dan and Xie XingFang. Every time you play badminton with them, when you just served they already smash you...",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
808,pv看到一个很有趣的比喻：逆飞的流星是啥,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
809,USM 你有份吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
810,Any good club or platform to join tk echance my skills and upgrade my resume? Pls drop suggestions here,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
811,希望有关LZJ那天访谈的帖子都不要再分享了，其实忽然爆红也会吓到他本人,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
812,"I am scared I kena flagged for cheating in e proctoring exam. I got insomnia and anxiety thinking about it, i did not cheat but my eyes always look everywhere when i am nervous so i scared that it will be counted as cheating. Also I got do calculation by writing on paper but I scared that they think that I am cheating when looking down to write. I really cannot tahan the suspense.",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.36, 'Fear': 0.14}"
813,一个认真对待 一个预谋离开,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
814,"Well, for you, RM15 maybe nothing but for other people RM15 is like for 3 day meals, burn for nothing thanks",Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
815,I thought it was just Feb peko,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
816,C*vid-19证明了,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
817,有人还没有打疫苗嗎？看見身邊的朋友都已經打了，自己的預約卻还没有，有点难过。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
818,halo大家好。。。希望可以解答一下我的问题。我的电脑在考试前(week 15)的时候battery充满的话可以坚持到4-5个小时，可是我在study week的时候没有开过它，结果就是我考试的时候再开它，100％的电池只能够用到1个小时了，甚至更少时间在这种情况下，我应该拿去维修还是有办法自己找出原因？目前为止电脑陪了我3年了,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
819,那个在tekun office 要bandage的女生,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
820,hai is there anyone want a hardcopy notes & assignment & tutorial (2nd hand),Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
821,Today cases reach 20596. Omg I really wondering what's the point we keep mco and shuting ourself in the home but the cases still rapidly increase. It is nearly one and a half years mco already very suck arh ya know. Nak outdoor dinning tak boleh  I miss all my favorite food. Me mcm pregnant woman always suddenly nak makan my favorite food but cannot eat because outside so many cases.,Positive,"{'Happy': 0.18, 'Angry': 0.09, 'Surprise': 0.36, 'Sad': 0.27, 'Fear': 0.09}"
822,别人都在关注：打疫苗后会有什么副作用,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
823,"Hye guys, ad x dlm group ni msk USM melalui saluran alternative USM +1 ? Klau ad tlng komen pls",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
824,為什麼帅哥都是喜欢帅哥的 10個有10個都是这样，我的天啊，我到底要几时才可以找到帅哥当男朋友吧，可能只有梦里,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
825,"wanna slap my friend face when they complaining their self as poor people while drinking tealive n eat black cabbin every week, they cop me as rich people like duhh ofcourse because i dont waste money like you",Negative,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.5}"
826,"Elections are messed up. Even if you are competing without rules interventions or campaign misconduct, you are just doing a popularity contest",Positive,"{'Happy': 0.0, 'Angry': 0.5, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}"
827,我的骨灰post都可以比我的meme多like我不明白,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
828,Hi everyone I am from b40 family and I have interest to work online so that I can earn some money. I have try to find fb but i dun think i can trust them.Does anyone senior doing online job currently can give suggestion or what? Hope that there are someone reply me.Tq,Positive,"{'Happy': 0.11, 'Angry': 0.11, 'Surprise': 0.22, 'Sad': 0.0, 'Fear': 0.56}"
829,#认真帖,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
830,"Hi, 请问我想问一下 UM, USM, UTM 的Senior 们 请问一下这3间学校有没有人读完Quantity surveying就马上去 Australia 做工（后在Australia 考牌）or maybe 需要做了两年工后考Sr 去 Australia 开始做工吗？有计划去 Australia 工作+生活+移民，但是这方面实在太少资料。 AIQS 会承认这3间的文凭吗？我看到这3间受RICS 承认，然后 AIQS 好像有跟 RICS 有联通，求senior 分享。感恩",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
831,"Have a girlfriend, I can't lie to myself, have a boyfriend, it's against norm, I'm so conflicted, fate want me to be alone....help me, show me the way..it so pain to war with yourself...",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
832,"Eugene哥哥换了Profile picture,怎么感觉瘦了呢？是前阵子失恋的关系吗？",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
833,"Anyone dare to store their personal things or backup on OneDrive for Business provided by USM? Although I didn't set my files to be ""shared"", but I still scared that many people can access to it. As far as I know, anything stored on OneDrive business can be viewed by the 365 account admin user even though you set them to be ""private"".",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.09, 'Sad': 0.18, 'Fear': 0.73}"
834,"Why the s*b*idah uncle(that shave recently)treat people/customer differently based on people.I went alone i ordered smtg he told wait there is many orders.Then a group of girls came he was just layaning them and making useless jokes.I dont find this very serious, but just treat everyone equally.All the students are human beings",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}"
835,"各位大大，小妹我即将Y2了，但我现在要换MINOR,请问要怎么做呢",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
836,"Hi, anyone around Usm want to rent their motorcycle? I wanna rent. Please reply this of you wanna rent yours",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
837,为什么世界上这么多人喜欢人云亦云，不擅长利用理智？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
838,https://docs.google.com/.../1p4K5Ty0rSwbBoPAVYyRtp77.../edit,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
839,Anyone want to contribute to Malaysia healthcare here are some of the link,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
840,"如果你们被同一个女生拒绝很多次都会继续追吗？还是放弃？会不会到最后舔狗舔到一无所有?,你也可以发光发亮的",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
841,有没有学长学姐能解释 US6345001（sarjana muda pengurusan)是读什么的出来能做什么工作 谢谢解答！,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
842,把她送上车的那一刻，心也随着你上车的背影碎落一地。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
843,I MISS YOU TOO AND ALL THE BEST FOR FUTURE. TAKE CARE AND FINISH YOUR LAST SEM WITH GOOD CGPA.I FORGIVE YOU AND HOPE YOU TO HAVE SOMEONE WHO UNDERSTAND AND LOVE YOU MORE THAN I DID. THANKS #THE PERSON I LOVED THE MOST#,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.17}"
844,🥲,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
846,回复 #USMCFS27063 的帖子,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
